अ,            }  
आ,     } 
इ,}  
ई,} 
उ,   } 
ऋ,} 
ए,} 
ओ, } 
अन् अं,       } 
अस् अः,         }  
        
क ख,             } 
ग घ,}  
ङ,}  
च छ, }
ज झ,    }
ञ,} 
त थ ट ठ,           
द ध ड ढ,               } 
न ण,       |  } 
प फ,   } 
ब भ,    } 
म,                   } 
य,        } 
र,                 }
ल, } 
व,    }  
श ष स ह,                   
अक,} 
अनि,
अम,        } 
उष्, }
तर, } 
वि,

